"created,""currency"",""fee"",""net"""
"2020-05-21 18:25:52,""usd"",""0.68"",""12.27"""
"2020-05-21 18:26:06,""usd"",""0.68"",""12.27"""
"2020-05-21 19:42:08,""usd"",""0.68"",""12.27"""
"2020-05-21 22:22:33,""usd"",""0.68"",""12.27"""
"2020-05-22 00:49:42,""usd"",""0.68"",""12.27"""
"2020-05-22 01:32:51,""usd"",""0.68"",""12.27"""
"2020-05-22 04:01:05,""usd"",""0.68"",""12.27"""
"2020-05-22 04:29:01,""usd"",""0.68"",""12.27"""
"2020-05-22 07:18:45,""usd"",""0.68"",""12.27"""
"2020-05-22 15:44:35,""usd"",""0.68"",""12.27"""
"2020-05-22 17:58:45,""usd"",""0.68"",""12.27"""
"2020-05-22 22:41:29,""usd"",""0.73"",""14.24"""
"2020-05-22 23:24:33,""usd"",""0.68"",""12.27"""
"2020-05-23 01:09:38,""usd"",""0.68"",""12.27"""
"2020-05-23 04:01:07,""usd"",""0.68"",""12.27"""
"2020-05-23 04:47:08,""usd"",""0.68"",""12.27"""
"2020-05-24 12:47:43,""usd"",""1.17"",""28.80"""
"2020-05-24 13:58:41,""usd"",""1.17"",""28.80"""
"2020-05-24 23:49:34,""usd"",""0.68"",""12.27"""
"2020-05-24 23:50:00,""usd"",""0.73"",""14.24"""
"2020-05-25 00:02:07,""usd"",""0.68"",""12.27"""
"2020-05-25 00:06:14,""usd"",""0.68"",""12.27"""
"2020-05-25 00:21:04,""usd"",""0.98"",""22.49"""
"2020-05-25 02:08:39,""usd"",""0.68"",""12.27"""
"2020-05-25 02:28:21,""usd"",""0.68"",""12.27"""
"2020-05-25 08:28:09,""usd"",""1.17"",""28.80"""
"2020-05-25 10:07:20,""usd"",""1.17"",""28.80"""
"2020-05-25 14:43:12,""usd"",""0.00"",""-12.95"""
"2020-05-25 15:26:09,""usd"",""0.68"",""12.27"""
"2020-05-25 16:11:15,""usd"",""0.68"",""12.27"""
"2020-05-25 17:12:33,""usd"",""0.68"",""12.27"""
"2020-05-25 17:41:48,""usd"",""2.62"",""77.34"""
"2020-05-25 18:59:08,""usd"",""1.14"",""27.80"""
"2020-05-25 21:47:17,""usd"",""0.68"",""12.27"""
"2020-05-25 23:20:54,""usd"",""0.68"",""12.27"""
"2020-05-26 00:11:50,""usd"",""0.73"",""14.24"""
"2020-05-26 00:44:27,""usd"",""0.68"",""12.27"""
"2020-05-26 01:30:22,""usd"",""0.73"",""14.24"""
"2020-05-26 02:33:37,""usd"",""0.98"",""22.49"""
"2020-05-26 02:35:09,""usd"",""0.68"",""12.27"""
"2020-05-26 04:00:48,""usd"",""0.68"",""12.27"""
"2020-05-26 05:46:03,""usd"",""0.68"",""12.27"""
"2020-05-26 06:04:50,""usd"",""0.68"",""12.27"""
"2020-05-26 09:00:11,""usd"",""0.00"",""-28.94"""
"2020-05-26 13:42:50,""usd"",""0.68"",""12.27"""
"2020-05-26 14:32:04,""usd"",""0.68"",""12.27"""
"2020-05-26 15:06:31,""usd"",""0.68"",""12.27"""
"2020-05-26 15:08:15,""usd"",""0.65"",""11.35"""
"2020-05-26 15:08:57,""usd"",""0.68"",""12.27"""
"2020-05-26 15:44:16,""usd"",""0.68"",""12.27"""
"2020-05-26 16:33:31,""usd"",""0.73"",""14.24"""
"2020-05-26 17:16:17,""usd"",""0.68"",""12.27"""
"2020-05-26 17:20:49,""usd"",""0.73"",""14.24"""
"2020-05-26 17:48:02,""usd"",""0.68"",""12.27"""
"2020-05-26 17:56:14,""usd"",""0.68"",""12.27"""
"2020-05-26 18:11:29,""usd"",""0.68"",""12.27"""
"2020-05-26 19:46:09,""usd"",""0.68"",""12.27"""
"2020-05-26 20:47:53,""usd"",""0.68"",""12.27"""
"2020-05-26 20:55:03,""usd"",""1.14"",""27.80"""
"2020-05-26 21:35:25,""usd"",""0.68"",""12.27"""
"2020-05-26 21:37:51,""usd"",""0.73"",""14.24"""
"2020-05-26 22:02:27,""usd"",""0.68"",""12.27"""
"2020-05-26 22:12:42,""usd"",""0.68"",""12.27"""
"2020-05-26 22:43:57,""usd"",""0.68"",""12.27"""
"2020-05-26 23:28:22,""usd"",""0.68"",""12.27"""
"2020-05-27 00:00:30,""usd"",""0.68"",""12.27"""
"2020-05-27 00:13:46,""usd"",""0.68"",""12.27"""
"2020-05-27 01:27:17,""usd"",""0.73"",""14.24"""
"2020-05-27 01:29:49,""usd"",""0.68"",""12.27"""
"2020-05-27 01:38:28,""usd"",""0.48"",""12.47"""
"2020-05-27 02:13:20,""usd"",""0.68"",""12.27"""
"2020-05-27 03:07:04,""usd"",""0.68"",""12.27"""
"2020-05-27 03:20:41,""usd"",""0.68"",""12.27"""
"2020-05-27 03:20:48,""usd"",""0.68"",""12.27"""
"2020-05-27 04:05:59,""usd"",""0.88"",""19.07"""
"2020-05-27 04:16:41,""usd"",""0.68"",""12.27"""
"2020-05-27 12:31:14,""usd"",""0.48"",""12.47"""
"2020-05-27 13:06:30,""usd"",""0.68"",""12.27"""
"2020-05-27 13:13:19,""usd"",""2.04"",""57.88"""
"2020-05-27 14:39:39,""usd"",""1.17"",""28.78"""
"2020-05-27 15:09:31,""usd"",""0.73"",""14.24"""
"2020-05-27 15:54:16,""usd"",""0.68"",""12.27"""
"2020-05-27 16:37:52,""usd"",""0.68"",""12.27"""
"2020-05-27 17:46:22,""usd"",""0.48"",""12.47"""
"2020-05-27 19:58:17,""usd"",""0.68"",""12.27"""
"2020-05-27 20:14:05,""usd"",""0.68"",""12.27"""
"2020-05-27 22:13:37,""usd"",""0.68"",""12.27"""
"2020-05-27 22:21:36,""usd"",""0.68"",""12.27"""
"2020-05-27 22:54:24,""usd"",""0.68"",""12.27"""
"2020-05-28 01:29:24,""usd"",""0.68"",""12.27"""
"2020-05-28 01:38:30,""usd"",""0.73"",""14.24"""
"2020-05-28 02:19:23,""usd"",""1.20"",""29.77"""
"2020-05-28 03:03:52,""usd"",""0.68"",""12.27"""
"2020-05-28 03:04:42,""usd"",""0.68"",""12.27"""
"2020-05-28 03:05:07,""usd"",""0.88"",""19.07"""
"2020-05-28 03:28:33,""usd"",""0.68"",""12.27"""
"2020-05-28 03:39:32,""usd"",""0.68"",""12.27"""
"2020-05-28 03:43:17,""usd"",""0.73"",""14.24"""
"2020-05-28 03:50:40,""usd"",""0.88"",""19.07"""
"2020-05-28 03:58:24,""usd"",""0.68"",""12.27"""
"2020-05-28 04:46:12,""usd"",""0.68"",""12.27"""
"2020-05-28 05:21:12,""usd"",""0.68"",""12.27"""
"2020-05-28 05:27:36,""usd"",""0.68"",""12.27"""
"2020-05-28 05:51:06,""usd"",""0.73"",""14.24"""
"2020-05-28 06:37:15,""usd"",""0.68"",""12.27"""
"2020-05-28 07:48:33,""usd"",""0.68"",""12.27"""
"2020-05-28 07:58:49,""usd"",""0.68"",""12.27"""
"2020-05-28 14:51:41,""usd"",""0.68"",""12.27"""
"2020-05-28 15:10:12,""usd"",""0.68"",""12.27"""
"2020-05-28 15:49:03,""usd"",""0.68"",""12.27"""
"2020-05-28 16:07:12,""usd"",""0.68"",""12.27"""
"2020-05-28 16:08:46,""usd"",""0.47"",""5.37"""
"2020-05-28 16:48:20,""usd"",""0.68"",""12.27"""
"2020-05-28 17:15:30,""usd"",""0.68"",""12.27"""
"2020-05-28 17:39:25,""usd"",""0.68"",""12.27"""
"2020-05-28 17:54:23,""usd"",""0.48"",""12.47"""
"2020-05-28 18:24:33,""usd"",""0.68"",""12.27"""
