"created_utc","gross","fee","net"
"2020-05-19 23:59:49","12.95","0.68","12.27"
"2020-05-20 01:02:39","12.95","0.68","12.27"
"2020-05-20 13:05:59","12.95","0.68","12.27"
"2020-05-20 14:02:33","12.95","0.68","12.27"
"2020-05-20 14:09:36","12.95","0.68","12.27"
"2020-05-20 16:57:00","12.95","0.68","12.27"
"2020-05-20 18:12:24","12.95","0.68","12.27"
"2020-05-20 22:27:29","12.95","0.68","12.27"
"2020-05-20 23:26:06","12.95","0.68","12.27"
"2020-05-20 23:39:28","12.95","0.68","12.27"
"2020-05-21 05:57:43","12.95","0.68","12.27"
"2020-05-21 13:31:18","12.95","0.68","12.27"
"2020-05-21 14:34:00","12.95","0.68","12.27"
"2020-05-21 14:35:56","12.95","0.68","12.27"
"2020-05-21 16:25:52","12.95","0.68","12.27"
"2020-05-21 16:26:06","12.95","0.68","12.27"
"2020-05-21 17:42:08","12.95","0.68","12.27"
"2020-05-21 20:22:33","12.95","0.68","12.27"
"2020-05-21 22:49:42","12.95","0.68","12.27"
"2020-05-21 23:32:51","12.95","0.68","12.27"
"2020-05-22 02:01:05","12.95","0.68","12.27"
"2020-05-22 02:29:01","12.95","0.68","12.27"
"2020-05-22 05:18:45","12.95","0.68","12.27"
"2020-05-22 13:44:35","12.95","0.68","12.27"
"2020-05-22 15:58:45","12.95","0.68","12.27"
"2020-05-22 20:41:29","14.97","0.73","14.24"
"2020-05-22 21:24:33","12.95","0.68","12.27"
"2020-05-22 23:09:38","12.95","0.68","12.27"
"2020-05-23 02:01:07","12.95","0.68","12.27"
"2020-05-23 02:47:08","12.95","0.68","12.27"
"2020-05-24 10:47:43","29.97","1.17","28.80"
"2020-05-24 11:58:41","29.97","1.17","28.80"
"2020-05-24 21:49:34","12.95","0.68","12.27"
"2020-05-24 21:50:00","14.97","0.73","14.24"
"2020-05-24 22:02:07","12.95","0.68","12.27"
"2020-05-24 22:06:14","12.95","0.68","12.27"
"2020-05-24 22:21:04","23.47","0.98","22.49"
"2020-05-25 00:08:39","12.95","0.68","12.27"
"2020-05-25 00:28:21","12.95","0.68","12.27"
"2020-05-25 06:28:09","29.97","1.17","28.80"
"2020-05-25 08:07:20","29.97","1.17","28.80"
"2020-05-25 12:43:12","-12.95","0.00","-12.95"
"2020-05-25 13:26:09","12.95","0.68","12.27"
"2020-05-25 14:11:15","12.95","0.68","12.27"
"2020-05-25 15:12:33","12.95","0.68","12.27"
"2020-05-25 15:41:48","79.96","2.62","77.34"
"2020-05-25 16:59:08","28.94","1.14","27.80"
"2020-05-25 19:47:17","12.95","0.68","12.27"
"2020-05-25 21:20:54","12.95","0.68","12.27"
"2020-05-25 22:11:50","14.97","0.73","14.24"
"2020-05-25 22:44:27","12.95","0.68","12.27"
"2020-05-25 23:30:22","14.97","0.73","14.24"
"2020-05-26 00:33:37","23.47","0.98","22.49"
"2020-05-26 00:35:09","12.95","0.68","12.27"
"2020-05-26 02:00:48","12.95","0.68","12.27"
"2020-05-26 03:46:03","12.95","0.68","12.27"
"2020-05-26 04:04:50","12.95","0.68","12.27"
"2020-05-26 07:00:11","-28.94","0.00","-28.94"
"2020-05-26 11:42:50","12.95","0.68","12.27"
"2020-05-26 12:32:04","12.95","0.68","12.27"
"2020-05-26 13:06:31","12.95","0.68","12.27"
"2020-05-26 13:08:15","12.00","0.65","11.35"
"2020-05-26 13:08:57","12.95","0.68","12.27"
"2020-05-26 13:44:16","12.95","0.68","12.27"
"2020-05-26 14:33:31","14.97","0.73","14.24"
"2020-05-26 15:16:17","12.95","0.68","12.27"
"2020-05-26 15:20:49","14.97","0.73","14.24"
"2020-05-26 15:48:02","12.95","0.68","12.27"
"2020-05-26 15:56:14","12.95","0.68","12.27"
"2020-05-26 16:11:29","12.95","0.68","12.27"
"2020-05-26 17:46:09","12.95","0.68","12.27"
"2020-05-26 18:47:53","12.95","0.68","12.27"
"2020-05-26 18:55:03","28.94","1.14","27.80"
