,"created,""currency"",""fee"",""net"""
259,"2020-05-27 16:37:52,""usd"",""0.68"",""12.27"""
260,"2020-05-27 17:46:22,""usd"",""0.48"",""12.47"""
261,"2020-05-27 19:58:17,""usd"",""0.68"",""12.27"""
262,"2020-05-27 20:14:05,""usd"",""0.68"",""12.27"""
263,"2020-05-27 22:13:37,""usd"",""0.68"",""12.27"""
264,"2020-05-27 22:21:36,""usd"",""0.68"",""12.27"""
265,"2020-05-27 22:54:24,""usd"",""0.68"",""12.27"""
266,"2020-05-28 01:29:24,""usd"",""0.68"",""12.27"""
267,"2020-05-28 01:38:30,""usd"",""0.73"",""14.24"""
268,"2020-05-28 02:19:23,""usd"",""1.20"",""29.77"""
269,"2020-05-28 03:03:52,""usd"",""0.68"",""12.27"""
270,"2020-05-28 03:04:42,""usd"",""0.68"",""12.27"""
271,"2020-05-28 03:05:07,""usd"",""0.88"",""19.07"""
272,"2020-05-28 03:28:33,""usd"",""0.68"",""12.27"""
273,"2020-05-28 03:39:32,""usd"",""0.68"",""12.27"""
274,"2020-05-28 03:43:17,""usd"",""0.73"",""14.24"""
275,"2020-05-28 03:50:40,""usd"",""0.88"",""19.07"""
276,"2020-05-28 03:58:24,""usd"",""0.68"",""12.27"""
277,"2020-05-28 04:46:12,""usd"",""0.68"",""12.27"""
278,"2020-05-28 05:21:12,""usd"",""0.68"",""12.27"""
279,"2020-05-28 05:27:36,""usd"",""0.68"",""12.27"""
280,"2020-05-28 05:51:06,""usd"",""0.73"",""14.24"""
281,"2020-05-28 06:37:15,""usd"",""0.68"",""12.27"""
282,"2020-05-28 07:48:33,""usd"",""0.68"",""12.27"""
283,"2020-05-28 07:58:49,""usd"",""0.68"",""12.27"""
284,"2020-05-28 14:51:41,""usd"",""0.68"",""12.27"""
285,"2020-05-28 15:10:12,""usd"",""0.68"",""12.27"""
286,"2020-05-28 15:49:03,""usd"",""0.68"",""12.27"""
287,"2020-05-28 16:07:12,""usd"",""0.68"",""12.27"""
288,"2020-05-28 16:08:46,""usd"",""0.47"",""5.37"""
289,"2020-05-28 16:48:20,""usd"",""0.68"",""12.27"""
290,"2020-05-28 17:15:30,""usd"",""0.68"",""12.27"""
291,"2020-05-28 17:39:25,""usd"",""0.68"",""12.27"""
292,"2020-05-28 17:54:23,""usd"",""0.48"",""12.47"""
293,"2020-05-28 18:24:33,""usd"",""0.68"",""12.27"""
294,"2020-05-28 18:24:40,""usd"",""0.48"",""12.47"""
295,"2020-05-28 18:46:26,""usd"",""0.68"",""12.27"""
296,"2020-05-28 19:36:50,""usd"",""0.48"",""12.47"""
297,"2020-05-28 19:39:42,""usd"",""0.48"",""12.47"""
298,"2020-05-28 20:58:34,""usd"",""0.48"",""12.47"""
299,"2020-05-28 21:10:55,""usd"",""0.68"",""12.27"""
300,"2020-05-28 21:42:02,""usd"",""0.68"",""12.27"""
301,"2020-05-28 23:23:18,""usd"",""0.48"",""12.47"""
302,"2020-05-28 23:24:59,""usd"",""0.38"",""5.46"""
303,"2020-05-28 23:31:07,""usd"",""0.51"",""14.27"""
304,"2020-05-29 00:02:20,""usd"",""0.68"",""12.27"""
305,"2020-05-29 00:38:58,""usd"",""0.68"",""12.27"""
306,"2020-05-29 00:42:57,""usd"",""0.68"",""12.27"""
307,"2020-05-29 02:03:04,""usd"",""0.94"",""20.99"""
308,"2020-05-29 03:22:02,""usd"",""0.73"",""14.05"""
309,"2020-05-29 03:39:05,""usd"",""0.68"",""12.27"""
310,"2020-05-29 03:48:17,""usd"",""0.73"",""14.05"""
311,"2020-05-29 03:48:20,""usd"",""0.68"",""12.27"""
312,"2020-05-29 05:52:20,""usd"",""0.68"",""12.27"""
313,"2020-05-29 05:54:01,""usd"",""0.73"",""14.05"""
314,"2020-05-29 07:31:40,""usd"",""0.48"",""12.47"""
315,"2020-05-29 09:52:30,""usd"",""0.52"",""15.55"""
316,"2020-05-29 14:05:38,""usd"",""0.68"",""12.27"""
317,"2020-05-29 14:42:06,""usd"",""0.68"",""12.27"""
318,"2020-05-29 14:44:59,""usd"",""0.68"",""12.27"""
319,"2020-05-29 14:55:59,""usd"",""0.68"",""12.27"""
320,"2020-05-29 16:08:53,""usd"",""0.68"",""12.27"""
321,"2020-05-29 16:25:40,""usd"",""0.68"",""12.27"""
322,"2020-05-29 16:42:56,""usd"",""0.48"",""12.47"""
323,"2020-05-29 17:49:31,""usd"",""0.68"",""12.27"""
324,"2020-05-29 18:48:48,""usd"",""0.68"",""12.27"""
325,"2020-05-29 19:50:18,""usd"",""0.68"",""12.27"""
326,"2020-05-29 20:16:58,""usd"",""0.68"",""12.27"""
327,"2020-05-29 21:21:09,""usd"",""0.68"",""12.27"""
328,"2020-05-29 21:32:02,""usd"",""0.68"",""12.27"""
329,"2020-05-29 22:03:13,""usd"",""0.68"",""12.27"""
330,"2020-05-29 22:30:28,""usd"",""0.68"",""12.27"""
331,"2020-05-29 22:50:36,""usd"",""0.68"",""12.27"""
332,"2020-05-29 23:57:20,""usd"",""0.48"",""12.47"""
333,"2020-05-30 00:49:28,""usd"",""0.68"",""12.27"""
